,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,1063.0,150,0.0017935830001079012,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",False,150,0.25,512
1,1,1588.0,302,0.12792083300064405,"[5.0, 14.0, 5.0, 14.0, 2.0, 11.0, 5.0, 3.0, 0.0, 10.0, 14.0, 9.0, 11.0, 11.0, 13.0, 6.0, 4.0, 14.0, 13.0, 8.0, 7.0, 5.0, 14.0, 13.0, 7.0, 4.0, 12.0, 8.0, 3.0, 14.0]",False,150,0.25,512
2,2,1589.0,454,0.25621995800065633,"[0.0, 14.0, 7.0, 12.0, 12.0, 14.0, 3.0, 2.0, 9.0, 3.0, 7.0, 7.0, 13.0, 9.0, 2.0, 14.0, 14.0, 9.0, 13.0, 13.0, 1.0, 6.0, 14.0, 13.0, 11.0, 3.0, 6.0, 14.0, 5.0, 8.0]",False,150,0.25,512
3,4,1647.0,757,0.5026782909999383,"[5.0, 13.0, 7.0, 13.0, 13.0, 11.0, 3.0, 3.0, 0.0, 12.0, 14.0, 6.0, 12.0, 6.0, 13.0, 14.0, 1.0, 14.0, 13.0, 8.0, 4.0, 5.0, 7.0, 13.0, 7.0, 13.0, 0.0, 7.0, 10.0, 14.0]",False,150,0.25,512
4,8,1667.0,1364,0.9734656660002656,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
5,16,1667.0,2572,1.8554348750003555,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
6,32,1667.0,4988,3.5857070830006705,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
7,64,1667.0,9820,7.025927665999916,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
8,128,1667.0,19484,13.926413750000393,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
9,256,1667.0,38812,27.699810125000113,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
10,512,1667.0,76864,54.82938541600015,"[0.0, 13.0, 7.0, 14.0, 13.0, 11.0, 8.0, 3.0, 0.0, 12.0, 14.0, 9.0, 11.0, 11.0, 14.0, 6.0, 4.0, 14.0, 13.0, 13.0, 13.0, 6.0, 14.0, 10.0, 7.0, 4.0, 0.0, 8.0, 11.0, 8.0]",False,150,0.25,512
11,0,1063.0,150,0.0013503749996743863,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",False,150,0.5,512
12,1,1467.0,302,0.12311295899962715,"[12.0, 12.0, 12.0, 9.0, 3.0, 13.0, 5.0, 10.0, 10.0, 8.0, 13.0, 0.0, 7.0, 13.0, 9.0, 4.0, 10.0, 13.0, 14.0, 13.0, 5.0, 7.0, 5.0, 14.0, 6.0, 9.0, 14.0, 11.0, 4.0, 5.0]",False,150,0.5,512
13,2,1518.0,454,0.25293995900028676,"[6.0, 14.0, 11.0, 10.0, 10.0, 4.0, 14.0, 1.0, 11.0, 10.0, 11.0, 2.0, 11.0, 4.0, 9.0, 12.0, 1.0, 9.0, 13.0, 14.0, 12.0, 2.0, 6.0, 12.0, 7.0, 11.0, 1.0, 3.0, 11.0, 12.0]",False,150,0.5,512
