,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2674.1961002880785,0,0.0001397500000166474,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,1,0.99,0.001,0.9999985954665507,1,8192
1,1,2674.1961002880785,1,0.004198583000288636,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,1,0.99,0.001,0.9999578037210263,1,8192
2,2,2674.1961002880785,2,0.00559812499977852,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,1,0.99,0.001,0.9999437385463373,1,8192
3,4,2667.096008275515,6,0.006894541999827197,"[8, 1, 0, 13, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,1,0.99,0.001,0.9999307099380129,1,8192
4,8,2577.7321445777197,11,0.008265499999652093,"[8, 1, 0, 9, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 13, 21, 7, 10, 14, 19, 6]",geometric,1,0.99,0.001,0.9999169323993106,1,8192
5,16,2537.5077768707433,21,0.009748667000167188,"[8, 1, 0, 9, 12, 5, 6, 11, 3, 4, 17, 15, 18, 16, 2, 13, 21, 7, 10, 14, 19, 20]",geometric,1,0.99,0.001,0.9999020274221508,1,8192
6,32,2169.53632075414,40,0.011592832999667735,"[8, 1, 17, 9, 12, 11, 6, 5, 3, 4, 0, 15, 14, 16, 2, 13, 21, 7, 10, 18, 19, 20]",geometric,1,0.99,0.001,0.9998834949221035,1,8192
7,64,1644.1386247469104,82,0.014731125000253087,"[8, 15, 17, 1, 20, 18, 6, 10, 5, 4, 0, 12, 9, 16, 2, 19, 21, 7, 3, 13, 11, 14]",geometric,1,0.99,0.001,0.9998519582055156,1,8192
8,128,1486.7122346796837,151,0.019247207999796956,"[8, 0, 15, 1, 11, 18, 6, 20, 5, 14, 17, 12, 9, 16, 2, 19, 21, 7, 3, 13, 10, 4]",geometric,1,0.99,0.001,0.9998065778038453,1,8192
9,256,1460.579019676042,283,0.028402707999703125,"[8, 0, 4, 11, 1, 6, 18, 20, 5, 12, 17, 14, 9, 16, 2, 19, 21, 7, 3, 13, 10, 15]",geometric,1,0.99,0.001,0.9997145839843569,1,8192
10,512,1386.5102674923073,544,0.05204141699960019,"[4, 8, 0, 11, 1, 6, 20, 18, 5, 12, 17, 14, 9, 19, 16, 2, 21, 7, 3, 13, 10, 15]",geometric,1,0.99,0.001,0.9994771030391535,1,8192
11,1024,1275.2833324961084,1060,0.12960579199989297,"[4, 8, 0, 11, 1, 6, 20, 18, 9, 17, 12, 14, 5, 3, 7, 2, 21, 16, 19, 13, 10, 15]",geometric,1,0.99,0.001,0.9986982662532017,1,8192
12,2048,1275.2833324961084,2084,0.3976641669996752,"[4, 8, 0, 11, 1, 6, 20, 18, 9, 17, 12, 14, 5, 3, 7, 2, 21, 16, 19, 13, 10, 15]",geometric,1,0.99,0.001,0.9960113175747405,1,8192
13,4096,1196.6007291794606,4133,1.4054788329995063,"[4, 8, 0, 11, 1, 6, 20, 18, 9, 17, 12, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 15]",geometric,1,0.99,0.001,0.9859737629609335,1,8192
14,8192,1196.6007291794606,7252,4.151189000000159,"[4, 8, 0, 11, 1, 6, 20, 18, 9, 17, 12, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 15]",geometric,1,0.99,0.001,0.9591374925338464,1,8192
15,0,2674.1961002880785,0,8.324999998876592e-05,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,10,0.99,0.001,9.999991633098904,10,8192
16,1,2674.1961002880785,1,0.024777999999969325,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,10,0.99,0.001,9.997510037829272,10,8192
17,2,2674.1961002880785,2,0.04948712500026886,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,10,0.99,0.001,9.995027614374125,10,8192
18,4,2667.096008275515,6,0.07549179100078618,"[8, 1, 0, 13, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,10,0.99,0.001,9.992415698998713,10,8192
19,8,2577.7321445777197,11,0.10075520800000959,"[8, 1, 0, 9, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 13, 21, 7, 10, 14, 19, 6]",geometric,10,0.99,0.001,9.989878888509537,10,8192
20,16,2537.5077768707433,21,0.1254389160003484,"[8, 1, 0, 9, 12, 5, 6, 11, 3, 4, 17, 15, 18, 16, 2, 13, 21, 7, 10, 14, 19, 20]",geometric,10,0.99,0.001,9.987400911175712,10,8192
21,32,2169.53632075414,40,0.1517472909999924,"[8, 1, 17, 9, 12, 11, 6, 5, 3, 4, 0, 15, 14, 16, 2, 13, 21, 7, 10, 18, 19, 20]",geometric,10,0.99,0.001,9.98476051151737,10,8192
22,64,1642.1571181466938,83,0.17776408300051116,"[8, 4, 17, 1, 20, 18, 6, 10, 5, 15, 0, 12, 9, 16, 2, 19, 21, 7, 3, 13, 11, 14]",geometric,10,0.99,0.001,9.982150062628016,10,8192
23,128,1499.3633579400348,152,0.20562316599989572,"[8, 4, 17, 15, 11, 18, 6, 20, 5, 12, 0, 14, 9, 16, 2, 19, 21, 7, 3, 13, 10, 1]",geometric,10,0.99,0.001,9.979355520325493,10,8192
24,256,1466.365996425252,281,0.23790641600044182,"[8, 4, 17, 15, 11, 18, 6, 20, 5, 12, 0, 14, 9, 19, 2, 16, 21, 7, 3, 13, 10, 1]",geometric,10,0.99,0.001,9.976118168752286,10,8192
25,512,1432.4038964230951,541,0.285338665999916,"[8, 4, 17, 15, 1, 18, 6, 20, 5, 12, 0, 14, 9, 19, 16, 2, 21, 7, 3, 13, 10, 11]",geometric,10,0.99,0.001,9.971363586401882,10,8192
26,1024,1184.6566049511496,1062,0.38334691599993675,"[17, 4, 8, 15, 11, 1, 18, 20, 9, 0, 12, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 6]",geometric,10,0.99,0.001,9.961546471234094,10,8192
27,2048,1139.7532390815052,2090,0.6684653750007783,"[4, 12, 0, 8, 11, 1, 18, 20, 9, 15, 17, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 6]",geometric,10,0.99,0.001,9.933042158081998,10,8192
28,4096,1139.7532390815052,4138,1.6912587910001093,"[4, 12, 0, 8, 11, 1, 18, 20, 9, 15, 17, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 6]",geometric,10,0.99,0.001,9.831459273211943,10,8192
29,8192,1139.7532390815052,6248,3.4199465830006375,"[4, 12, 0, 8, 11, 1, 18, 20, 9, 15, 17, 14, 5, 3, 7, 21, 2, 16, 19, 13, 10, 6]",geometric,10,0.99,0.001,9.662123820305426,10,8192
30,0,2674.1961002880785,0,8.612500005256152e-05,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,50,0.99,0.001,49.99995672075993,50,8192
31,1,2708.086503788137,2,0.04920591700010846,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,50,0.99,0.001,49.97527931354689,50,8192
32,2,2708.086503788137,3,0.0936600000004546,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,50,0.99,0.001,49.95295642207147,50,8192
33,4,2699.1374067482707,7,0.13798891700025706,"[8, 1, 0, 13, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,50,0.99,0.001,49.93070631256455,50,8192
34,8,2609.7735430504754,12,0.18258400000013353,"[8, 1, 0, 9, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 13, 21, 7, 10, 14, 19, 16]",geometric,50,0.99,0.001,49.90833260588208,50,8192
35,16,2482.3671104412747,24,0.226519833000566,"[8, 1, 0, 9, 12, 5, 20, 11, 10, 18, 17, 15, 4, 3, 2, 13, 21, 7, 6, 14, 19, 16]",geometric,50,0.99,0.001,49.88629945450519,50,8192
36,32,2274.455102888728,44,0.2708155000000261,"[8, 1, 0, 19, 6, 5, 20, 11, 10, 18, 17, 15, 14, 3, 2, 16, 21, 7, 12, 4, 9, 13]",geometric,50,0.99,0.001,49.864095698694804,50,8192
37,64,2098.7986098961483,84,0.31731850000051054,"[19, 1, 17, 20, 13, 9, 0, 11, 10, 18, 8, 15, 14, 3, 2, 16, 21, 7, 12, 4, 5, 6]",geometric,50,0.99,0.001,49.84079612317687,50,8192
38,128,1835.1796383953902,160,0.36474133299998357,"[13, 9, 12, 0, 4, 1, 17, 11, 6, 18, 15, 8, 5, 3, 2, 16, 21, 7, 20, 14, 19, 10]",geometric,50,0.99,0.001,49.81704689233179,50,8192
39,256,1397.1378597378919,309,0.41741937500046333,"[17, 12, 8, 0, 4, 15, 1, 11, 20, 9, 19, 14, 5, 16, 3, 7, 21, 2, 18, 6, 13, 10]",geometric,50,0.99,0.001,49.79067913343736,50,8192
40,512,1270.4751064532531,572,0.4835630420002417,"[17, 4, 8, 0, 12, 15, 11, 1, 20, 9, 14, 5, 16, 2, 21, 7, 3, 19, 18, 6, 13, 10]",geometric,50,0.99,0.001,49.75759097861006,50,8192
41,1024,1223.9749212480003,1086,0.6013099580004564,"[17, 4, 12, 0, 8, 15, 11, 1, 18, 9, 14, 5, 16, 2, 21, 7, 3, 19, 20, 6, 13, 10]",geometric,50,0.99,0.001,49.69874286909094,50,8192
42,2048,1223.9749212480003,2110,0.9085800000002564,"[17, 4, 12, 0, 8, 15, 11, 1, 18, 9, 14, 5, 16, 2, 21, 7, 3, 19, 20, 6, 13, 10]",geometric,50,0.99,0.001,49.54550158460007,50,8192
43,4096,1223.9749212480003,4158,1.9508276670003397,"[17, 4, 12, 0, 8, 15, 11, 1, 18, 9, 14, 5, 16, 2, 21, 7, 3, 19, 20, 6, 13, 10]",geometric,50,0.99,0.001,49.029224180881734,50,8192
44,8192,1223.9749212480003,5930,3.393233499999951,"[17, 4, 12, 0, 8, 15, 11, 1, 18, 9, 14, 5, 16, 2, 21, 7, 3, 19, 20, 6, 13, 10]",geometric,50,0.99,0.001,48.32359105826038,50,8192
45,0,2674.1961002880785,0,7.641600041097263e-05,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",geometric,100,0.99,0.001,99.99992319938262,100,8192
46,1,2708.086503788137,2,0.06300662500052567,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,100,0.99,0.001,99.93669627104545,100,8192
47,2,2708.086503788137,3,0.12514112500048213,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,100,0.99,0.001,99.87430802508264,100,8192
48,4,2699.1374067482707,7,0.1890229160007948,"[8, 1, 0, 13, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 9, 21, 7, 10, 14, 19, 16]",geometric,100,0.99,0.001,99.81020595812555,100,8192
49,8,2609.7735430504754,12,0.25300358300046355,"[8, 1, 0, 9, 15, 5, 20, 11, 3, 4, 17, 12, 18, 6, 2, 13, 21, 7, 10, 14, 19, 16]",geometric,100,0.99,0.001,99.74604591224531,100,8192
50,16,2512.640428552225,25,0.3171695830005774,"[8, 1, 0, 9, 12, 5, 16, 11, 10, 18, 17, 15, 4, 3, 2, 13, 21, 7, 6, 14, 19, 20]",geometric,100,0.99,0.001,99.68174143650174,100,8192
51,32,2216.892398232165,47,0.3819486660004259,"[8, 1, 0, 9, 6, 20, 16, 18, 10, 11, 17, 15, 4, 3, 14, 5, 21, 2, 12, 7, 19, 13]",geometric,100,0.99,0.001,99.61686460655835,100,8192
