,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,6.845799998700386e-05,2.0,0.0,25,512,0
1,1,0.0037886250001974986,3.0,2.0,25,512,0
2,1,0.0037886250001974986,2.0,3.0,25,512,1
3,1,0.0037886250001974986,3.0,4.0,25,512,2
4,1,0.0037886250001974986,2.0,5.0,25,512,3
5,1,0.0037886250001974986,2.0,6.0,25,512,4
6,1,0.0037886250001974986,3.0,7.0,25,512,5
7,1,0.0037886250001974986,3.0,9.0,25,512,6
8,1,0.0037886250001974986,3.0,10.0,25,512,7
9,1,0.0037886250001974986,3.0,11.0,25,512,8
10,1,0.0037886250001974986,2.0,13.0,25,512,9
11,1,0.0037886250001974986,2.0,14.0,25,512,10
12,1,0.0037886250001974986,3.0,15.0,25,512,11
13,1,0.0037886250001974986,4.0,16.0,25,512,12
14,0,6.845799998700386e-05,2.0,0.0,75,512,0
15,1,0.0037886250001974986,3.0,2.0,75,512,0
16,1,0.0037886250001974986,2.0,3.0,75,512,1
17,1,0.0037886250001974986,3.0,4.0,75,512,2
18,1,0.0037886250001974986,2.0,5.0,75,512,3
19,1,0.0037886250001974986,2.0,6.0,75,512,4
20,1,0.0037886250001974986,3.0,7.0,75,512,5
21,1,0.0037886250001974986,3.0,9.0,75,512,6
22,1,0.0037886250001974986,3.0,10.0,75,512,7
23,1,0.0037886250001974986,3.0,11.0,75,512,8
24,1,0.0037886250001974986,2.0,13.0,75,512,9
25,1,0.0037886250001974986,2.0,14.0,75,512,10
26,1,0.0037886250001974986,3.0,15.0,75,512,11
27,1,0.0037886250001974986,4.0,16.0,75,512,12
28,0,6.845799998700386e-05,2.0,0.0,100,512,0
29,1,0.0037886250001974986,3.0,2.0,100,512,0
30,1,0.0037886250001974986,2.0,3.0,100,512,1
31,1,0.0037886250001974986,3.0,4.0,100,512,2
32,1,0.0037886250001974986,2.0,5.0,100,512,3
33,1,0.0037886250001974986,2.0,6.0,100,512,4
34,1,0.0037886250001974986,3.0,7.0,100,512,5
35,1,0.0037886250001974986,3.0,9.0,100,512,6
36,1,0.0037886250001974986,3.0,10.0,100,512,7
37,1,0.0037886250001974986,3.0,11.0,100,512,8
38,1,0.0037886250001974986,2.0,13.0,100,512,9
39,1,0.0037886250001974986,2.0,14.0,100,512,10
40,1,0.0037886250001974986,3.0,15.0,100,512,11
41,1,0.0037886250001974986,4.0,16.0,100,512,12
