,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2.0,0,0.0001245419998667785,"[0, 1, 0, 0, 0]",False,150,0.25,512
1,1,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
2,2,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
3,4,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
4,8,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
5,16,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
6,32,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
7,64,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
8,128,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
9,256,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
10,512,4.0,2,0.007314542000131041,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.25,512
11,0,2.0,0,8.108300016829162e-05,"[0, 1, 0, 0, 0]",False,150,0.5,512
12,1,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
13,2,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
14,4,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
15,8,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
16,16,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
17,32,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
18,64,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
19,128,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
20,256,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
21,512,4.0,2,0.005304041000272264,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,150,0.5,512
22,0,2.0,0,7.574999972348451e-05,"[0, 1, 0, 0, 0]",False,150,0.75,512
23,1,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
24,2,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
25,4,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
26,8,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
27,16,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
28,32,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
29,64,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
30,128,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
31,256,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
32,512,4.0,2,0.006038291999630019,"[0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.75,512
33,0,2.0,0,8.25840002107725e-05,"[0, 1, 0, 0, 0]",False,200,0.25,512
34,1,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
35,2,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
36,4,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
37,8,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
38,16,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
39,32,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
40,64,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
41,128,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
42,256,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
43,512,4.0,2,0.005391125000187458,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.25,512
44,0,2.0,0,8.329199999934644e-05,"[0, 1, 0, 0, 0]",False,200,0.5,512
45,1,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
46,2,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
47,4,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
48,8,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
49,16,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
50,32,4.0,2,0.005471166999996058,"[1.0, 0.0, 1.0, 0.0, 1.0]",False,200,0.5,512
