,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,38.0,0,8.508300015819259e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999991448876386,1,8192
1,1,38.0,2,0.003155125000375847,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999682904368453,1,8192
2,2,38.0,3,0.004787290999956895,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999518872750762,1,8192
3,4,38.0,5,0.006180250000397791,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999378883408464,1,8192
4,8,38.0,13,0.007534791000580299,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.9999242756870887,1,8192
5,16,35.0,26,0.009015499999804888,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.9999093953019683,1,8192
6,32,36.0,54,0.010663166000085766,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9998928373427654,1,8192
7,64,42.0,100,0.012735958000121173,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.999872007536417,1,8192
8,128,50.0,189,0.01610804099982488,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9998381218816865,1,8192
9,256,54.0,339,0.023721291000583733,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9997616214752421,1,8192
10,512,56.0,596,0.044647583000369195,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9995513774569993,1,8192
11,1024,56.0,1108,0.11516737500005547,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9988431988128309,1,8192
12,2048,56.0,2132,0.38383416600026976,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9961497689399994,1,8192
13,4096,56.0,4180,1.401848625000639,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9860097366821956,1,8192
14,8192,56.0,5342,2.266658749999806,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9774768388222923,1,8192
15,0,38.0,0,4.841600002691848e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.999995134030575,10,8192
16,1,38.0,2,0.01618670799962274,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.998373313802162,10,8192
17,2,34.0,4,0.03225937499973952,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.996758349996599,10,8192
18,4,3.0,8,0.04854191600043123,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.99512256426811,10,8192
19,8,5.0,16,0.06490970800041396,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.993478483778112,10,8192
20,16,7.0,32,0.08086795800045365,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.991875800542411,10,8192
21,32,40.0,64,0.09722925000005489,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.990232906740777,10,8192
22,64,40.0,124,0.11403620800047065,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.988545543344117,10,8192
23,128,35.0,240,0.13210133299980953,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.9867321819095,10,8192
24,256,45.0,450,0.1547870829999738,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.984455472452314,10,8192
25,512,56.0,740,0.19028133299980254,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.980894361518263,10,8192
26,1024,56.0,1252,0.27575112500016985,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.972324453417576,10,8192
