,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
28,4096,37.0,4342,1.513256374999969,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.849063339174656,10,8192
29,8192,37.0,5740,2.5591405409999197,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.746077253333485,10,8192
30,0,24.0,0,5.833299996993446e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,50,0.99,0.001,49.99997068669654,50,8192
31,1,25.0,2,0.030473415999949793,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,50,0.99,0.001,49.984688941493665,50,8192
32,2,25.0,4,0.06104491600001438,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,50,0.99,0.001,49.96933331290668,50,8192
33,4,23.0,8,0.09240579100003288,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,50,0.99,0.001,49.953586094129555,50,8192
34,8,8.0,16,0.12413312499995754,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",geometric,50,0.99,0.001,49.937659915354914,50,8192
35,16,26.0,32,0.1550196660000438,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,50,0.99,0.001,49.9221606672143,50,8192
36,32,26.0,63,0.18753137500004868,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",geometric,50,0.99,0.001,49.905851086517195,50,8192
37,64,6.0,124,0.2192987500000072,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",geometric,50,0.99,0.001,49.88992004961521,50,8192
38,128,27.0,249,0.2521350409999741,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,50,0.99,0.001,49.87345830656291,50,8192
39,256,26.0,484,0.28980808300002536,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",geometric,50,0.99,0.001,49.85457845682705,50,8192
40,512,33.0,853,0.34114337500000147,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",geometric,50,0.99,0.001,49.828863273160934,50,8192
41,1024,37.0,1384,0.4390571249999766,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.779852498274224,50,8192
42,2048,37.0,2408,0.7189632910000228,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.64001104742546,50,8192
43,4096,37.0,4456,1.7177090830000452,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,49.144230406471586,50,8192
44,8192,37.0,6076,2.9553117909999855,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",geometric,50,0.99,0.001,48.5367444866384,50,8192
45,0,24.0,0,6.520800002363103e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,100,0.99,0.001,99.99993446379142,100,8192
46,1,25.0,2,0.046688333000020066,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,100,0.99,0.001,99.9530876645697,100,8192
47,2,25.0,4,0.09303920800005017,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,100,0.99,0.001,99.90653617587184,100,8192
48,4,23.0,8,0.14111679100005858,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,100,0.99,0.001,99.8582734127095,100,8192
49,8,8.0,16,0.18775033300005362,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",geometric,100,0.99,0.001,99.81148252750074,100,8192
50,16,26.0,32,0.23474654100004955,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,100,0.99,0.001,99.76434993398638,100,8192
51,32,26.0,63,0.28094037500000013,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",geometric,100,0.99,0.001,99.71804373308787,100,8192
52,64,6.0,127,0.3278800410000713,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,100,0.99,0.001,99.67101190252083,100,8192
53,128,25.0,252,0.37579470800005765,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",geometric,100,0.99,0.001,99.62302603489672,100,8192
54,256,26.0,499,0.428233500000033,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]",geometric,100,0.99,0.001,99.57053579651091,100,8192
55,512,34.0,948,0.4940735410000343,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]",geometric,100,0.99,0.001,99.50467032122054,100,8192
56,1024,37.0,1474,0.6081193750000011,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,100,0.99,0.001,99.3906835123901,100,8192
57,2048,37.0,2498,0.9039739160000408,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,100,0.99,0.001,99.09559046458604,100,8192
58,4096,37.0,4546,1.975785416000008,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,100,0.99,0.001,98.0338550770429,100,8192
59,8192,37.0,6073,3.150518291000026,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,100,0.99,0.001,96.88322807659459,100,8192
60,0,24.0,0,4.804100001365441e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,250,0.99,0.001,249.9998792929829,250,8192
61,1,25.0,2,0.062040499999966414,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,250,0.99,0.001,249.84416662289533,250,8192
62,2,25.0,4,0.1244166660000019,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,250,0.99,0.001,249.6875880454659,250,8192
63,4,23.0,8,0.18652383300002384,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,250,0.99,0.001,249.53178221242763,250,8192
64,8,8.0,16,0.25025445799997215,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",geometric,250,0.99,0.001,249.37200474154247,250,8192
65,16,26.0,32,0.3120384579999609,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,250,0.99,0.001,249.21720527390872,250,8192
66,32,24.0,64,0.3764724999999771,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,250,0.99,0.001,249.05586850361263,250,8192
67,64,26.0,128,0.43996895800000857,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",geometric,250,0.99,0.001,248.89698153225896,250,8192
68,128,25.0,256,0.5034133330000259,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",geometric,250,0.99,0.001,248.7383261264355,250,8192
69,256,27.0,504,0.5709586660000241,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,250,0.99,0.001,248.56952659892787,250,8192
70,512,24.0,986,0.651724374999958,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",geometric,250,0.99,0.001,248.36783898941016,250,8192
71,1024,37.0,1546,0.7804785409999795,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,250,0.99,0.001,248.04665324557902,250,8192
72,2048,37.0,2570,1.0957888330000287,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,250,0.99,0.001,247.2618439451851,250,8192
73,4096,37.0,4618,2.1189732499999536,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,250,0.99,0.001,244.7321935248817,250,8192
74,8192,37.0,6143,3.3236747079999986,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,250,0.99,0.001,241.78692685570348,250,8192
75,0,24.0,0,5.15830000722417e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,500,0.99,0.001,499.9997407868297,500,8192
76,1,25.0,2,0.07736212500003603,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,500,0.99,0.001,499.6113934240683,500,8192
77,2,25.0,4,0.15474554200000057,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,500,0.99,0.001,499.2229820486672,500,8192
78,4,23.0,8,0.23126000000002023,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,500,0.99,0.001,498.83922914322557,500,8192
79,8,8.0,16,0.30875570800003516,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",geometric,500,0.99,0.001,498.450855536024,500,8192
80,16,26.0,32,0.38926216700008354,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,500,0.99,0.001,498.047713615881,500,8192
81,32,24.0,64,0.46670579200008433,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,500,0.99,0.001,497.6602167477724,500,8192
82,64,26.0,128,0.544805583000084,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",geometric,500,0.99,0.001,497.2697420145293,500,8192
83,128,25.0,256,0.6234372080000412,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,496.8769177869838,500,8192
