max_fitness,max_evals,iter,max_time,Population Size,Keep Percent
211.0,76409.0,505,6.475937292000026,150,0.25
211.0,103119.0,512,6.475937292000026,200,0.5
211.0,152611.0,506,6.475937292000026,300,0.25
211.0,154420.0,512,6.475937292000026,300,0.5
210.0,101709.0,505,6.475937292000026,200,0.25
210.0,154420.0,512,6.475937292000026,300,0.75
208.0,77165.0,510,6.475937292000026,150,0.5
208.0,103120.0,512,6.475937292000026,200,0.75
200.0,77469.0,512,6.475937292000026,150,0.75
