max_fitness,max_evals,iter,max_time,Temperature,max_iters
617.0,6566.0,5933,2.1218079170002966,10000,8192
604.0,6158.0,5674,2.1218079170002966,2500,8192
594.0,6095.0,5691,2.1218079170002966,1000,8192
593.0,6529.0,5983,2.1218079170002966,5000,8192
592.0,5626.0,5491,2.1218079170002966,50,8192
588.0,5869.0,5602,2.1218079170002966,250,8192
587.0,5990.0,5801,2.1218079170002966,100,8192
581.0,5926.0,5596,2.1218079170002966,500,8192
507.0,5255.0,5226,2.1218079170002966,10,8192
460.0,5127.0,5124,2.1218079170002966,1,8192
