max_fitness,max_evals,iter,max_time,Temperature,max_iters
767.0401067558656,5553.0,5476,2.367930500000057,100,8192
776.0076688671426,5312.0,5290,2.336275124999702,10,8192
776.0076688671426,5750.0,5555,2.367930500000057,500,8192
776.0076688671427,5352.0,5328,2.367930500000057,1,8192
776.0076688671427,6330.0,5914,2.367930500000057,5000,8192
789.6980465049965,5432.0,5385,2.367930500000057,50,8192
802.5002899310692,6451.0,5961,2.367930500000057,10000,8192
803.9167891172578,5858.0,5593,2.367930500000057,1000,8192
806.5432000370901,6120.0,5801,2.367930500000057,2500,8192
843.8265688556822,5743.0,5624,2.367930500000057,250,8192
