max_fitness,max_evals,iter,max_time,Population Size,Mutation Rate
37.0,153420.0,1015,2.9589428329999237,150,0.6
37.0,154326.0,1021,2.976389790999974,150,0.5
37.0,155384.0,1028,3.0027773329999263,150,0.4
37.0,205227.0,1020,2.9734423749999905,200,0.5
37.0,206432.0,1026,2.9969094580000046,200,0.6
37.0,206834.0,1028,3.0027773329999263,200,0.4
37.0,305517.0,1014,2.956084457999964,300,0.5
37.0,307022.0,1019,2.9705625409999357,300,0.6
37.0,307323.0,1020,2.9734423749999905,300,0.4
