max_fitness,max_evals,iter,max_time,Temperature,max_iters
56.0,5342.0,5258,2.266658749999806,1,8192
56.0,5673.0,5445,2.266658749999806,10,8192
56.0,6111.0,5643,2.266658749999806,100,8192
56.0,6081.0,5651,2.266658749999806,50,8192
56.0,6479.0,5923,2.266658749999806,250,8192
56.0,6613.0,5929,2.266658749999806,1000,8192
56.0,6766.0,6004,2.266658749999806,2500,8192
56.0,6861.0,6033,2.266658749999806,5000,8192
56.0,6710.0,6068,2.266658749999806,500,8192
56.0,7360.0,6412,2.266658749999806,10000,8192
