max_fitness,max_evals,iter,max_time,Temperature,max_iters
498.23514413629016,5007.0,5005,2.029401208999957,1,8192
498.23514413629016,5354.0,5316,2.029401208999957,10,8192
498.23514413629016,5505.0,5401,2.029401208999957,50,8192
498.23514413629016,5678.0,5528,2.029401208999957,100,8192
498.23514413629016,5786.0,5570,2.029401208999957,250,8192
498.23514413629016,5903.0,5597,2.029401208999957,500,8192
498.23514413629016,6052.0,5698,2.029401208999957,1000,8192
498.23514413629016,6294.0,5852,2.029401208999957,2500,8192
498.23514413629016,6449.0,5919,2.029401208999957,5000,8192
498.23514413629016,6528.0,5944,2.029401208999957,10000,8192
