max_fitness,max_evals,iter,max_time,max_current_restart,Restarts,max_iters
37.0,13483.0,512,0.04651562500001205,25,25,512
37.0,39371.0,512,0.04651562500001205,75,75,512
37.0,52309.0,512,0.04651562500001205,100,100,512
