,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,24.0,0,0.0008097910031210631,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999918613615664,1,8192
1,1,25.0,2,0.025576833009836264,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9997429772741838,1,8192
2,2,25.0,4,0.028118708010879345,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9997174374690377,1,8192
3,4,24.0,7,0.029936833001556806,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9996991700323559,1,8192
4,8,29.0,15,0.03159158299968112,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9996825443804114,1,8192
5,16,26.0,29,0.03330133300914895,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9996653664211986,1,8192
6,32,25.0,58,0.03486533300019801,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",geometric,1,0.99,0.001,0.9996496530795241,1,8192
7,64,32.0,112,0.03726575001201127,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9996255368253889,1,8192
8,128,37.0,188,0.04164541600039229,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.999581537162444,1,8192
9,256,37.0,316,0.0498912500042934,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9994987018732197,1,8192
10,512,37.0,572,0.07032708301267121,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9992934389280406,1,8192
11,1024,37.0,1084,0.14002908300608397,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9985936505241024,1,8192
12,2048,37.0,2108,0.39152737500262447,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.996072750280591,1,8192
13,4096,37.0,4156,3.017938832999789,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9701240793041419,1,8192
14,8192,37.0,5168,4.198635833003209,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.958680230516511,1,8192
15,0,24.0,0,9.1583002358675e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.999990795604914,10,8192
16,1,25.0,2,0.01859629200771451,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.99813118484219,10,8192
17,2,25.0,4,0.03726695801015012,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.996255246891483,10,8192
18,4,23.0,8,0.0554385420109611,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.994429792272655,10,8192
19,8,28.0,15,0.07426066701009404,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.992539338017309,10,8192
20,16,29.0,30,0.09364595801162068,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.990592694353612,10,8192
21,32,24.0,58,0.11250879200815689,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.988698879120289,10,8192
22,64,24.0,117,0.1308592499990482,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.986856850573961,10,8192
23,128,26.0,234,0.15764995801146142,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.98416819529195,10,8192
24,256,27.0,446,0.18150079200859182,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",geometric,10,0.99,0.001,9.981775188219737,10,8192
25,512,37.0,758,0.21838929200021084,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.978075212689241,10,8192
26,1024,37.0,1270,0.3058200829982525,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.969311241111852,10,8192
27,2048,37.0,2294,0.5984770830109483,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.940031575858503,10,8192
28,4096,37.0,4342,1.6575169170100708,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.834793855192634,10,8192
