column0,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
2051,0,0.002060207999988961,24.0,150.0,150,0.6,2048
2052,1,0.007850415999996585,30.0,302.0,150,0.6,2048
2053,2,0.012678707999953076,32.0,454.0,150,0.6,2048
2054,3,0.0176483749999079,32.0,605.0,150,0.6,2048
2055,4,0.020809332999988328,32.0,756.0,150,0.6,2048
2056,5,0.025537832999930288,32.0,907.0,150,0.6,2048
2057,6,0.028477665999957935,35.0,1059.0,150,0.6,2048
2058,7,0.03146183299998029,35.0,1210.0,150,0.6,2048
2059,8,0.03446470799997314,35.0,1361.0,150,0.6,2048
2060,9,0.038698457999998936,35.0,1512.0,150,0.6,2048
2061,10,0.04153249999990294,35.0,1663.0,150,0.6,2048
2062,11,0.044641832999900544,35.0,1814.0,150,0.6,2048
2063,12,0.047572749999972075,35.0,1965.0,150,0.6,2048
2064,13,0.050382499999955144,35.0,2116.0,150,0.6,2048
2065,14,0.05319829099994422,36.0,2268.0,150,0.6,2048
2066,15,0.05618599999991147,37.0,2420.0,150,0.6,2048
2067,16,0.05902533299990864,37.0,2571.0,150,0.6,2048
2068,17,0.06311237499994604,37.0,2722.0,150,0.6,2048
2069,18,0.06603762499992172,37.0,2873.0,150,0.6,2048
2070,19,0.06927570799996374,37.0,3024.0,150,0.6,2048
2071,20,0.07225633299992751,37.0,3175.0,150,0.6,2048
2072,21,0.0752205829999184,37.0,3326.0,150,0.6,2048
2073,22,0.07820362499990097,37.0,3477.0,150,0.6,2048
2074,23,0.08132883299992955,37.0,3628.0,150,0.6,2048
2075,24,0.08441462499990848,37.0,3779.0,150,0.6,2048
2076,25,0.08721504099992217,37.0,3930.0,150,0.6,2048
2077,26,0.0901969999999892,37.0,4081.0,150,0.6,2048
2078,27,0.09314962499990997,37.0,4232.0,150,0.6,2048
2079,28,0.09612162499990973,37.0,4383.0,150,0.6,2048
2080,29,0.09907724999993661,37.0,4534.0,150,0.6,2048
2081,30,0.10196174999998675,37.0,4685.0,150,0.6,2048
2082,31,0.10482445799993911,37.0,4836.0,150,0.6,2048
2083,32,0.10766541599991797,37.0,4987.0,150,0.6,2048
2084,33,0.11251783299996987,37.0,5138.0,150,0.6,2048
2085,34,0.11546408300000621,37.0,5289.0,150,0.6,2048
2086,35,0.11830729099995096,37.0,5440.0,150,0.6,2048
2087,36,0.12148545799993826,37.0,5591.0,150,0.6,2048
2088,37,0.12447783299990078,37.0,5742.0,150,0.6,2048
2089,38,0.12744816599990827,37.0,5893.0,150,0.6,2048
2090,39,0.13039691599999514,37.0,6044.0,150,0.6,2048
2091,40,0.1333462499999314,37.0,6195.0,150,0.6,2048
2092,41,0.1362717499999917,37.0,6346.0,150,0.6,2048
2093,42,0.13917091599989817,37.0,6497.0,150,0.6,2048
2094,43,0.14200208299996575,37.0,6648.0,150,0.6,2048
2095,44,0.14493383299998186,37.0,6799.0,150,0.6,2048
2096,45,0.14777516599997398,37.0,6950.0,150,0.6,2048
2097,46,0.15060862499990435,37.0,7101.0,150,0.6,2048
2098,47,0.15348004099996615,37.0,7252.0,150,0.6,2048
2099,48,0.15641649999997753,37.0,7403.0,150,0.6,2048
2100,49,0.15936858299994583,37.0,7554.0,150,0.6,2048
2101,50,0.1623421659999167,37.0,7705.0,150,0.6,2048
2102,51,0.1653089579999687,37.0,7856.0,150,0.6,2048
2103,52,0.16824062499995307,37.0,8007.0,150,0.6,2048
2104,53,0.17116729099996064,37.0,8158.0,150,0.6,2048
2105,54,0.17410674999996445,37.0,8309.0,150,0.6,2048
2106,55,0.177076833000001,37.0,8460.0,150,0.6,2048
2107,56,0.18007441599991125,37.0,8611.0,150,0.6,2048
2108,57,0.18295566599999802,37.0,8762.0,150,0.6,2048
2109,58,0.1858393329999899,37.0,8913.0,150,0.6,2048
2110,59,0.1887786249999408,37.0,9064.0,150,0.6,2048
2111,60,0.19172929100000147,37.0,9215.0,150,0.6,2048
2112,61,0.19468124999991687,37.0,9366.0,150,0.6,2048
2113,62,0.19775720799998453,37.0,9517.0,150,0.6,2048
2114,63,0.2007675829999016,37.0,9668.0,150,0.6,2048
2115,64,0.2036307079999915,37.0,9819.0,150,0.6,2048
2116,65,0.2089083749999645,37.0,9970.0,150,0.6,2048
2117,66,0.21182883299991317,37.0,10121.0,150,0.6,2048
2118,67,0.2147976659999813,37.0,10272.0,150,0.6,2048
2119,68,0.2178622499999392,37.0,10423.0,150,0.6,2048
2120,69,0.22073404099990057,37.0,10574.0,150,0.6,2048
2121,70,0.22352599999999256,37.0,10725.0,150,0.6,2048
2122,71,0.22630308299994795,37.0,10876.0,150,0.6,2048
2123,72,0.22915704100000767,37.0,11027.0,150,0.6,2048
2124,73,0.23201099999994312,37.0,11178.0,150,0.6,2048
2125,74,0.23483499999997548,37.0,11329.0,150,0.6,2048
2126,75,0.23764237499995033,37.0,11480.0,150,0.6,2048
2127,76,0.24046162499996626,37.0,11631.0,150,0.6,2048
2128,77,0.2433064580000064,37.0,11782.0,150,0.6,2048
2129,78,0.24621879099993293,37.0,11933.0,150,0.6,2048
2130,79,0.2490568749999511,37.0,12084.0,150,0.6,2048
2131,80,0.2518612909999547,37.0,12235.0,150,0.6,2048
2132,81,0.25467712499994377,37.0,12386.0,150,0.6,2048
2133,82,0.2574626249999028,37.0,12537.0,150,0.6,2048
