column0,Iteration,Time,Fitness,FEvals,Temperature,max_iters
50197,0,8.308399992529303e-05,453.0,0.0,10000,8192
50198,1,0.002208208999945782,443.0,2.0,10000,8192
50199,2,0.003538083999956143,447.0,4.0,10000,8192
50200,3,0.0047326250000878645,453.0,6.0,10000,8192
50201,4,0.004761459000292234,445.0,8.0,10000,8192
50202,5,0.0059456250000948785,410.0,10.0,10000,8192
50203,6,0.005968834000213974,380.0,12.0,10000,8192
50204,7,0.005987625000216212,405.0,14.0,10000,8192
50205,8,0.006006084000091505,387.0,16.0,10000,8192
50206,9,0.007186875000115833,403.0,18.0,10000,8192
50207,10,0.007209875000171451,397.0,20.0,10000,8192
50208,11,0.007229333999930532,361.0,22.0,10000,8192
50209,12,0.007248166999943351,362.0,24.0,10000,8192
50210,13,0.007266750000326283,356.0,26.0,10000,8192
50211,14,0.007285125000180415,392.0,28.0,10000,8192
50212,15,0.007303000000320026,398.0,30.0,10000,8192
50213,16,0.0073205839998991,408.0,32.0,10000,8192
50214,17,0.008537292000255547,402.0,34.0,10000,8192
50215,18,0.008559834000152478,396.0,36.0,10000,8192
50216,19,0.008579333999932715,364.0,38.0,10000,8192
50217,20,0.008599250000315806,332.0,40.0,10000,8192
50218,21,0.008617959000275732,335.0,42.0,10000,8192
50219,22,0.008636834000299132,343.0,44.0,10000,8192
50220,23,0.008656542000153422,341.0,46.0,10000,8192
50221,24,0.008675750000293192,343.0,48.0,10000,8192
50222,25,0.008695167000041693,327.0,50.0,10000,8192
50223,26,0.008715166999991197,339.0,52.0,10000,8192
50224,27,0.008735249999972439,345.0,54.0,10000,8192
50225,28,0.008754834000228584,282.0,56.0,10000,8192
50226,29,0.008775875000083033,322.0,58.0,10000,8192
50227,30,0.008796250000159489,346.0,60.0,10000,8192
50228,31,0.008816084000045521,332.0,62.0,10000,8192
50229,32,0.008836875000270084,320.0,64.0,10000,8192
50230,33,0.010095375000219065,332.0,66.0,10000,8192
50231,34,0.010120625000126893,336.0,68.0,10000,8192
50232,35,0.010142709000319883,318.0,70.0,10000,8192
50233,36,0.010163667000142595,288.0,72.0,10000,8192
50234,37,0.010185459000240371,324.0,74.0,10000,8192
50235,38,0.010207125000306405,323.0,76.0,10000,8192
50236,39,0.010228375000224332,365.0,78.0,10000,8192
50237,40,0.010250084000290371,381.0,80.0,10000,8192
50238,41,0.010271292000197718,333.0,82.0,10000,8192
50239,42,0.010292375000062748,328.0,84.0,10000,8192
50240,43,0.010314459000255738,325.0,86.0,10000,8192
50241,44,0.010336084000300616,337.0,88.0,10000,8192
50242,45,0.010358584000186966,327.0,90.0,10000,8192
50243,46,0.010380541999893467,273.0,92.0,10000,8192
50244,47,0.0104031250002663,248.0,94.0,10000,8192
50245,48,0.010425584000131494,284.0,96.0,10000,8192
50246,49,0.010448792000261165,311.0,98.0,10000,8192
50247,50,0.010471958999914932,301.0,100.0,10000,8192
50248,51,0.010494874999949388,316.0,102.0,10000,8192
50249,52,0.010517959000026167,312.0,104.0,10000,8192
50250,53,0.010541625000314525,282.0,106.0,10000,8192
50251,54,0.010565709000275092,332.0,108.0,10000,8192
50252,55,0.01058950000015102,368.0,110.0,10000,8192
50253,56,0.010613542000101006,374.0,112.0,10000,8192
50254,57,0.010637584000050992,430.0,114.0,10000,8192
50255,58,0.010661209000318195,450.0,116.0,10000,8192
50256,59,0.010685834000014438,475.0,118.0,10000,8192
50257,60,0.010710000000017317,0.0,120.0,10000,8192
50258,61,0.0107342090000202,0.0,122.0,10000,8192
50259,62,0.01075933400034046,0.0,124.0,10000,8192
50260,63,0.010784334000163653,0.0,126.0,10000,8192
50261,64,0.01080904200034638,0.0,128.0,10000,8192
50262,65,0.012180666999938694,0.0,130.0,10000,8192
50263,66,0.012211000000206695,0.0,132.0,10000,8192
50264,67,0.012238709000030212,0.0,134.0,10000,8192
