column0,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
52226,0,0.0009559170002830797,2674.1961002880785,0.0,100,512,0
52227,1,0.009766208000655752,2674.1961002880785,1.0,100,512,0
52739,1,0.009766208000655752,2466.7567348788043,545.0,100,512,1
53251,1,0.009766208000655752,2783.374447689093,1090.0,100,512,2
53763,1,0.009766208000655752,2423.414487862313,1642.0,100,512,3
54275,1,0.009766208000655752,2599.103670519714,2179.0,100,512,4
54787,1,0.009766208000655752,2333.519256501347,2726.0,100,512,5
55299,1,0.009766208000655752,3074.57980972553,3258.0,100,512,6
55811,1,0.009766208000655752,2704.1645437890834,3801.0,100,512,7
56323,1,0.009766208000655752,2311.5475457767775,4350.0,100,512,8
56835,1,0.009766208000655752,2582.696894694408,4887.0,100,512,9
57347,1,0.009766208000655752,2494.166790931647,5428.0,100,512,10
57859,1,0.009766208000655752,2755.4771945937214,5973.0,100,512,11
58371,1,0.009766208000655752,2860.678579982701,6518.0,100,512,12
58883,1,0.009766208000655752,2465.93272430015,7062.0,100,512,13
59395,1,0.009766208000655752,2674.532926140242,7607.0,100,512,14
59907,1,0.009766208000655752,2491.823947543649,8143.0,100,512,15
60419,1,0.009766208000655752,2658.9683991120696,8690.0,100,512,16
60931,1,0.009766208000655752,2724.461619581062,9230.0,100,512,17
61443,1,0.009766208000655752,2785.07718193848,9780.0,100,512,18
61955,1,0.009766208000655752,2627.6096371230756,10340.0,100,512,19
62467,1,0.009766208000655752,2948.073944193702,10880.0,100,512,20
62979,1,0.009766208000655752,2268.82051867764,11423.0,100,512,21
63491,1,0.009766208000655752,2409.8281930089965,11959.0,100,512,22
64003,1,0.009766208000655752,2801.1943426660446,12495.0,100,512,23
64515,1,0.009766208000655752,2981.1940035523367,13038.0,100,512,24
65027,1,0.009766208000655752,2643.400676945852,13591.0,100,512,25
65539,1,0.009766208000655752,2535.430074349387,14132.0,100,512,26
66051,1,0.009766208000655752,2673.0675709738393,14673.0,100,512,27
66563,1,0.009766208000655752,2536.5763375721485,15222.0,100,512,28
67075,1,0.009766208000655752,2597.0851810374106,15766.0,100,512,29
67587,1,0.009766208000655752,2860.274340014298,16310.0,100,512,30
68099,1,0.009766208000655752,2235.936921817877,16859.0,100,512,31
68611,1,0.009766208000655752,2324.3770685350664,17389.0,100,512,32
69123,1,0.009766208000655752,2917.7373293980177,17928.0,100,512,33
69635,1,0.009766208000655752,2372.9507030508057,18478.0,100,512,34
70147,1,0.009766208000655752,2253.2277875715035,19026.0,100,512,35
70659,1,0.009766208000655752,2739.205843147345,19558.0,100,512,36
71171,1,0.009766208000655752,2803.9454182566037,20103.0,100,512,37
71683,1,0.009766208000655752,2533.877548664139,20649.0,100,512,38
72195,1,0.009766208000655752,2407.5599494602257,21197.0,100,512,39
72707,1,0.009766208000655752,2312.9479567979383,21743.0,100,512,40
73219,1,0.009766208000655752,2619.7528211176727,22286.0,100,512,41
73731,1,0.009766208000655752,2659.785381936501,22825.0,100,512,42
74243,1,0.009766208000655752,2823.3723764601377,23360.0,100,512,43
74755,1,0.009766208000655752,2888.5440594399242,23901.0,100,512,44
75267,1,0.009766208000655752,2587.5150517409884,24440.0,100,512,45
75779,1,0.009766208000655752,2802.6338065867153,24979.0,100,512,46
76291,1,0.009766208000655752,2974.4718002594323,25523.0,100,512,47
76803,1,0.009766208000655752,2014.964028363805,26060.0,100,512,48
77315,1,0.009766208000655752,2932.011698322168,26594.0,100,512,49
77827,1,0.009766208000655752,2319.554867971293,27129.0,100,512,50
78339,1,0.009766208000655752,2533.123330465952,27669.0,100,512,51
78851,1,0.009766208000655752,3016.7019479837936,28206.0,100,512,52
79363,1,0.009766208000655752,2877.6983435373663,28753.0,100,512,53
79875,1,0.009766208000655752,2577.8895535087463,29297.0,100,512,54
80387,1,0.009766208000655752,2635.317101256599,29831.0,100,512,55
80899,1,0.009766208000655752,2414.5867983519247,30373.0,100,512,56
81411,1,0.009766208000655752,2779.115883943516,30917.0,100,512,57
81923,1,0.009766208000655752,2618.9667712241044,31455.0,100,512,58
82435,1,0.009766208000655752,2742.2251214573057,31986.0,100,512,59
82947,1,0.009766208000655752,2682.4582189759185,32530.0,100,512,60
83459,1,0.009766208000655752,2309.411196639848,33074.0,100,512,61
83971,1,0.009766208000655752,2356.759314281216,33615.0,100,512,62
84483,1,0.009766208000655752,2639.703858618054,34159.0,100,512,63
84995,1,0.009766208000655752,2706.8807413950417,34698.0,100,512,64
85507,1,0.009766208000655752,2469.573051189425,35241.0,100,512,65
86019,1,0.009766208000655752,2719.6109883246645,35786.0,100,512,66
86531,1,0.009766208000655752,2839.2829067658954,36331.0,100,512,67
87043,1,0.009766208000655752,2476.16754591521,36871.0,100,512,68
87555,1,0.009766208000655752,2524.556142116762,37414.0,100,512,69
88067,1,0.009766208000655752,2773.985174700011,37960.0,100,512,70
88579,1,0.009766208000655752,2729.5244176501833,38506.0,100,512,71
89091,1,0.009766208000655752,2743.9096058047226,39059.0,100,512,72
89603,1,0.009766208000655752,2186.025922327517,39600.0,100,512,73
90115,1,0.009766208000655752,2812.1062107412095,40141.0,100,512,74
90627,1,0.009766208000655752,2609.7940217099917,40680.0,100,512,75
91139,1,0.009766208000655752,2565.1110867884136,41232.0,100,512,76
91651,1,0.009766208000655752,2879.1413469572053,41774.0,100,512,77
92163,1,0.009766208000655752,2976.2420391554606,42326.0,100,512,78
92675,1,0.009766208000655752,2944.812896190548,42870.0,100,512,79
93187,1,0.009766208000655752,2488.599968308111,43424.0,100,512,80
93699,1,0.009766208000655752,3117.895629105475,43961.0,100,512,81
94211,1,0.009766208000655752,2311.1789092245745,44503.0,100,512,82
94723,1,0.009766208000655752,2753.017199324767,45040.0,100,512,83
95235,1,0.009766208000655752,2500.3347347239655,45582.0,100,512,84
95747,1,0.009766208000655752,3015.073261951955,46129.0,100,512,85
96259,1,0.009766208000655752,2521.6512873887928,46673.0,100,512,86
96771,1,0.009766208000655752,2839.256529551282,47218.0,100,512,87
97283,1,0.009766208000655752,2418.360042315341,47767.0,100,512,88
97795,1,0.009766208000655752,2203.278386308197,48298.0,100,512,89
98307,1,0.009766208000655752,2845.9438252641694,48839.0,100,512,90
98819,1,0.009766208000655752,3218.0318028849783,49386.0,100,512,91
99331,1,0.009766208000655752,2524.909531349634,49932.0,100,512,92
99843,1,0.009766208000655752,2756.0564953314556,50474.0,100,512,93
100355,1,0.009766208000655752,2783.0547166584993,51027.0,100,512,94
100867,1,0.009766208000655752,2358.117961103436,51568.0,100,512,95
101379,1,0.009766208000655752,2676.5386242985956,52112.0,100,512,96
101891,1,0.009766208000655752,3130.722750906677,52659.0,100,512,97
102403,1,0.009766208000655752,2707.2203166272334,53200.0,100,512,98
102915,1,0.009766208000655752,2507.1950244994214,53746.0,100,512,99
103427,1,0.009766208000655752,2916.924179638538,54275.0,100,512,100
52228,2,0.011353250000865955,2674.1961002880785,2.0,100,512,0
52740,2,0.011353250000865955,2442.9331953033616,547.0,100,512,1
53252,2,0.011353250000865955,2774.1602707317256,1092.0,100,512,2
53764,2,0.011353250000865955,2306.782812649637,1644.0,100,512,3
54276,2,0.011353250000865955,2599.103670519714,2180.0,100,512,4
54788,2,0.011353250000865955,2151.2274105411416,2728.0,100,512,5
55300,2,0.011353250000865955,3052.8516466965216,3260.0,100,512,6
55812,2,0.011353250000865955,2704.1645437890834,3802.0,100,512,7
56324,2,0.011353250000865955,2277.896339245351,4352.0,100,512,8
