column0,Iteration,Time,Fitness,FEvals,Temperature,max_iters
21254,0,0.0004085419999455553,532.3904293878462,0.0,250,8192
21255,1,0.008782709000001887,574.0097606080028,2.0,250,8192
21256,2,0.013391333999948074,532.3904293878462,4.0,250,8192
21257,3,0.01640674999998737,547.5887971504948,6.0,250,8192
21258,4,0.016454333999945447,544.9089708091363,8.0,250,8192
21259,5,0.017877958999974908,500.45633901491556,10.0,250,8192
21260,6,0.017909124999960113,498.23514413629016,12.0,250,8192
21261,7,0.017934708999973736,500.4563390149155,14.0,250,8192
21262,8,0.017958334000013565,571.3299342666445,16.0,250,8192
21263,9,0.01929050000001098,586.5283020292931,18.0,250,8192
21264,10,0.019319750000022395,498.23514413629016,20.0,250,8192
21265,11,0.01934449999998833,547.5887971504948,22.0,250,8192
21266,12,0.019368500000041422,591.4293232492766,24.0,250,8192
21267,13,0.01939183399997546,547.5887971504948,26.0,250,8192
21268,14,0.019415333999972972,591.4293232492768,28.0,250,8192
21269,15,0.01943837499993606,586.5283020292931,30.0,250,8192
21270,16,0.019461459000012837,591.4293232492768,32.0,250,8192
21271,17,0.020781499999998232,547.5887971504948,34.0,250,8192
21272,18,0.020810125000025437,532.3904293878462,36.0,250,8192
21273,19,0.020836124999959793,620.683587280849,38.0,250,8192
21274,20,0.020861500000023625,591.4293232492766,40.0,250,8192
21275,21,0.020886042000029192,620.683587280849,42.0,250,8192
21276,22,0.020910291999939545,544.9089708091365,44.0,250,8192
21277,23,0.020934541999963585,527.4894081678625,46.0,250,8192
21278,24,0.020958917000029942,544.9089708091365,48.0,250,8192
21279,25,0.02099275000000489,620.683587280849,50.0,250,8192
21280,26,0.021018709000031777,532.3904293878462,52.0,250,8192
21281,27,0.021043249999934233,574.0097606080029,54.0,250,8192
21282,28,0.021068124999942484,591.4293232492768,56.0,250,8192
21283,29,0.021093083999971896,547.5887971504948,58.0,250,8192
21284,30,0.02111762499998804,498.23514413629016,60.0,250,8192
21285,31,0.021142458999975133,586.5283020292931,62.0,250,8192
21286,32,0.021167333999983384,544.9089708091365,64.0,250,8192
21287,33,0.026496500000007472,527.4894081678625,66.0,250,8192
21288,34,0.026608458999930917,544.9089708091365,68.0,250,8192
21289,35,0.026707708999992974,500.45633901491556,70.0,250,8192
21290,36,0.026802542000041285,532.3904293878462,72.0,250,8192
21291,37,0.02689666699995996,620.683587280849,74.0,250,8192
21292,38,0.026989917000037167,532.3904293878462,76.0,250,8192
21293,39,0.02708370899995316,574.0097606080029,78.0,250,8192
21294,40,0.027177542000003996,532.3904293878462,80.0,250,8192
21295,41,0.02744099999995342,532.3904293878462,81.0,250,8192
21296,42,0.027558709000004455,500.45633901491556,83.0,250,8192
21297,43,0.02766416700001173,500.45633901491556,84.0,250,8192
21298,44,0.02776545899996563,591.4293232492768,86.0,250,8192
21299,45,0.027862667000022157,586.528302029293,88.0,250,8192
21300,46,0.02795949999995173,498.23514413629016,90.0,250,8192
21301,47,0.02805662499997652,527.4894081678624,92.0,250,8192
21302,48,0.028152958999953626,544.9089708091365,94.0,250,8192
21303,49,0.028250209000020732,586.528302029293,96.0,250,8192
21304,50,0.028348292000032416,571.3299342666445,98.0,250,8192
21305,51,0.028446374999930413,620.6835872808491,100.0,250,8192
