column0,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
1016,0,0.003973957999733102,2674.1961002880785,150.0,false,150,0.75,512
1017,1,0.11788441599946964,2125.7430907253165,302.0,false,150,0.75,512
1018,2,0.22948899999937566,2125.7430907253165,453.0,false,150,0.75,512
1019,3,0.3366904999993494,1922.028773899673,605.0,false,150,0.75,512
1020,4,0.4431626249997862,1922.028773899673,756.0,false,150,0.75,512
1021,5,0.5527653749995807,1922.028773899673,907.0,false,150,0.75,512
1022,6,0.6584775410001384,1778.5319905640586,1059.0,false,150,0.75,512
1023,7,0.7659989160001714,1778.5319905640586,1210.0,false,150,0.75,512
1024,8,0.8722572500000751,1778.5319905640586,1361.0,false,150,0.75,512
1025,9,0.9728092499999548,1778.5319905640586,1512.0,false,150,0.75,512
1026,10,1.071768499999962,1778.5319905640586,1663.0,false,150,0.75,512
1027,11,1.17015791599988,1778.5319905640586,1814.0,false,150,0.75,512
1028,12,1.2687724999996135,1778.5319905640586,1965.0,false,150,0.75,512
1029,13,1.3675775410001734,1778.5319905640586,2116.0,false,150,0.75,512
1030,14,1.4656587079998644,1778.5319905640586,2267.0,false,150,0.75,512
1031,15,1.5642582909995326,1778.5319905640586,2418.0,false,150,0.75,512
1032,16,1.663329375000103,1778.5319905640586,2569.0,false,150,0.75,512
1033,17,1.7639396249996935,1778.5319905640586,2720.0,false,150,0.75,512
1034,18,1.8627233749994048,1778.5319905640586,2871.0,false,150,0.75,512
1035,19,1.9616232079997644,1778.5319905640586,3022.0,false,150,0.75,512
1036,20,2.059939707999547,1778.5319905640586,3173.0,false,150,0.75,512
1037,21,2.158166125000207,1778.5319905640586,3324.0,false,150,0.75,512
1038,22,2.256430624999666,1778.5319905640586,3475.0,false,150,0.75,512
1039,23,2.354788832999475,1778.5319905640586,3626.0,false,150,0.75,512
1040,24,2.4535329999998794,1778.5319905640586,3777.0,false,150,0.75,512
1041,25,2.5520639579999624,1778.5319905640586,3928.0,false,150,0.75,512
1042,26,2.649879083000087,1778.5319905640586,4079.0,false,150,0.75,512
1043,27,2.7486465410001983,1778.5319905640586,4230.0,false,150,0.75,512
1044,28,2.8472593749993393,1778.5319905640586,4381.0,false,150,0.75,512
1045,29,2.9461960409998937,1778.5319905640586,4532.0,false,150,0.75,512
1046,30,3.044691291000163,1778.5319905640586,4683.0,false,150,0.75,512
1047,31,3.14319604100001,1778.5319905640586,4834.0,false,150,0.75,512
1048,32,3.2415230830001747,1778.5319905640586,4985.0,false,150,0.75,512
1049,33,3.342772915999376,1778.5319905640586,5136.0,false,150,0.75,512
1050,34,3.4407235829994534,1778.5319905640586,5287.0,false,150,0.75,512
1051,35,3.5389976659998865,1778.5319905640586,5438.0,false,150,0.75,512
1052,36,3.636814499999673,1778.5319905640586,5589.0,false,150,0.75,512
1053,37,3.7343372909999744,1778.5319905640586,5740.0,false,150,0.75,512
1054,38,3.832750874999874,1778.5319905640586,5891.0,false,150,0.75,512
1055,39,3.930962790999729,1778.5319905640586,6042.0,false,150,0.75,512
1056,40,4.0287664999996196,1778.5319905640586,6193.0,false,150,0.75,512
1057,41,4.126859999999397,1778.5319905640586,6344.0,false,150,0.75,512
1058,42,4.224565499999699,1747.117734840454,6496.0,false,150,0.75,512
1059,43,4.322261415999492,1747.117734840454,6647.0,false,150,0.75,512
1060,44,4.4200850829993215,1747.117734840454,6798.0,false,150,0.75,512
1061,45,4.517647832999501,1747.117734840454,6949.0,false,150,0.75,512
1062,46,4.6149922499998866,1747.117734840454,7100.0,false,150,0.75,512
1063,47,4.713265790999685,1747.117734840454,7251.0,false,150,0.75,512
1064,48,4.811756874999446,1747.117734840454,7402.0,false,150,0.75,512
1065,49,4.9095336249993125,1747.117734840454,7553.0,false,150,0.75,512
1066,50,5.007030165999822,1747.117734840454,7704.0,false,150,0.75,512
1067,51,5.104357790999529,1747.117734840454,7855.0,false,150,0.75,512
1068,52,5.2027267909998045,1747.117734840454,8006.0,false,150,0.75,512
1069,53,5.300202874999741,1747.117734840454,8157.0,false,150,0.75,512
1070,54,5.398569666000185,1747.117734840454,8308.0,false,150,0.75,512
1071,55,5.496975999999449,1747.117734840454,8459.0,false,150,0.75,512
1072,56,5.595606249999946,1747.117734840454,8610.0,false,150,0.75,512
1073,57,5.693495915999847,1747.117734840454,8761.0,false,150,0.75,512
1074,58,5.791734415999599,1747.117734840454,8912.0,false,150,0.75,512
1075,59,5.89046558300015,1747.117734840454,9063.0,false,150,0.75,512
1076,60,5.988902707999841,1747.117734840454,9214.0,false,150,0.75,512
1077,61,6.0868912079995425,1747.117734840454,9365.0,false,150,0.75,512
1078,62,6.184733540999332,1747.117734840454,9516.0,false,150,0.75,512
1079,63,6.282868999999664,1747.117734840454,9667.0,false,150,0.75,512
1080,64,6.381008999999722,1747.117734840454,9818.0,false,150,0.75,512
1081,65,6.481325165999806,1747.117734840454,9969.0,false,150,0.75,512
1082,66,6.579628790999777,1747.117734840454,10120.0,false,150,0.75,512
