column0,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
3068,0,0.0022640839997620787,38.0,300.0,false,300,0.25,512
3069,1,0.11306854200029193,43.0,602.0,false,300,0.25,512
3070,2,0.23013216700019257,46.0,904.0,false,300,0.25,512
3071,3,0.34953412499999104,46.0,1205.0,false,300,0.25,512
3072,4,0.46500687499974447,46.0,1506.0,false,300,0.25,512
3073,5,0.5814293339999494,48.0,1808.0,false,300,0.25,512
3074,6,0.6966944169998897,53.0,2110.0,false,300,0.25,512
3075,7,0.8107742499996675,53.0,2411.0,false,300,0.25,512
3076,8,0.923614749999615,53.0,2712.0,false,300,0.25,512
3077,9,1.0294123339999715,53.0,3013.0,false,300,0.25,512
3078,10,1.1325643339996532,53.0,3314.0,false,300,0.25,512
3079,11,1.2395191670002532,53.0,3615.0,false,300,0.25,512
3080,12,1.3471112090001043,53.0,3916.0,false,300,0.25,512
3081,13,1.454461084000286,53.0,4217.0,false,300,0.25,512
3082,14,1.5636776250003095,53.0,4518.0,false,300,0.25,512
3083,15,1.6702534169999126,53.0,4819.0,false,300,0.25,512
3084,16,1.7767230839999684,53.0,5120.0,false,300,0.25,512
3085,17,1.8848406669994802,53.0,5421.0,false,300,0.25,512
3086,18,1.9912003339995863,53.0,5722.0,false,300,0.25,512
3087,19,2.0971909589998177,53.0,6023.0,false,300,0.25,512
3088,20,2.2030839589997413,53.0,6324.0,false,300,0.25,512
3089,21,2.310297209000055,53.0,6625.0,false,300,0.25,512
3090,22,2.4159600840002895,53.0,6926.0,false,300,0.25,512
3091,23,2.5213680420001765,53.0,7227.0,false,300,0.25,512
3092,24,2.626538499999697,53.0,7528.0,false,300,0.25,512
3093,25,2.7315813340001114,53.0,7829.0,false,300,0.25,512
3094,26,2.836763749999591,53.0,8130.0,false,300,0.25,512
3095,27,2.9417782089994944,53.0,8431.0,false,300,0.25,512
3096,28,3.0468039589995897,53.0,8732.0,false,300,0.25,512
3097,29,3.1519565839998904,53.0,9033.0,false,300,0.25,512
3098,30,3.257604249999531,53.0,9334.0,false,300,0.25,512
3099,31,3.364223583999774,53.0,9635.0,false,300,0.25,512
3100,32,3.469362791999629,53.0,9936.0,false,300,0.25,512
3101,33,3.5766116670001793,53.0,10237.0,false,300,0.25,512
3102,34,3.6823287500001243,53.0,10538.0,false,300,0.25,512
3103,35,3.7879116670001167,53.0,10839.0,false,300,0.25,512
3104,36,3.8937365840001803,53.0,11140.0,false,300,0.25,512
3105,37,3.9996166669998274,53.0,11441.0,false,300,0.25,512
3106,38,4.104853333999927,53.0,11742.0,false,300,0.25,512
3107,39,4.20967550000023,53.0,12043.0,false,300,0.25,512
3108,40,4.315437125000244,53.0,12344.0,false,300,0.25,512
3109,41,4.421531959000276,53.0,12645.0,false,300,0.25,512
3110,42,4.526895584000158,53.0,12946.0,false,300,0.25,512
3111,43,4.63215612499971,53.0,13247.0,false,300,0.25,512
3112,44,4.737244250000003,53.0,13548.0,false,300,0.25,512
3113,45,4.842362083999433,53.0,13849.0,false,300,0.25,512
3114,46,4.947920249999697,53.0,14150.0,false,300,0.25,512
3115,47,5.053912792000119,53.0,14451.0,false,300,0.25,512
3116,48,5.159010374999525,53.0,14752.0,false,300,0.25,512
3117,49,5.264587624999876,53.0,15053.0,false,300,0.25,512
3118,50,5.3700819169998795,53.0,15354.0,false,300,0.25,512
3119,51,5.475316291999661,53.0,15655.0,false,300,0.25,512
3120,52,5.580132459000197,53.0,15956.0,false,300,0.25,512
